"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Late Pleistocene river deposits","gravel","Q2al","greywacke gravel and sand overlain by loess","alluvium","06_alluvium"
"Basement (Median Batholith) igneous rocks","quartz monzodiorite","PZdg","Weakly foliated, locally banded, equigranular quartz monzodiorite & quartz diorite; subordinate diorite, gabbro & granodiorite","diorite","18_crystalline"
"Basement (Western Province) metamorphic rocks","metamudstone","eOrfg","Dark grey to black, finely laminated to massive graphitic metamudstone; rare quartzite around Mt Edgecumbe","metamudstone","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","shell beds","lTtw","shellbeds; tuff; sandstone and minor conglomerate","sandstone","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q6al","schist-greywacke-quartz sandy gravel in Clutha catchment: sandy gravel in outwash and alluvial terraces","terrace gravels","16_terrace"
"Late Pleistocene river deposits","gravel","Q4af","slightly weathered gravel sand silt and loess","alluvial fan","10_fan"
"Basement (Western Province) metamorphic rocks","metasandstone","Caemd","Well bedded, usually graded, quartzofeldspathic metasandstone and metamudstone (siltstone); rare metaconglomerate","metasandstone","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","lDdic","Hornblende-biotite diorite, quartz diorite, tonalite; minor granodiorite and granite; ultramafic xenoliths","diorite","18_crystalline"
"Basement (Western Province) metamorphic rocks","schist","PZdcg","Thin to thick layered psammitic, pelitic & calc-psammitic schist; minor amphibolite & calc-silicate; rare quartzite & marble","metasediment","18_crystalline"
"Late Pleistocene river deposits","gravel","Q2al","sandy greywacke gravel overlain by loess","alluvial terraces","16_terrace"
"Basement (Western Province) metamorphic rocks","pelite","eOrff","Laminated to thin-bedded graphitic to non-graphitic pelite & semi-pelite; two thick quartzites occur in middle of sequence","pelite","18_crystalline"
"Holocene windblown deposits","sand","Q1dm","loose well sorted sand and silt in mobile dune fields","mobile dunes","11_loess"
"Paleogene sedimentary rocks","sandstone","Olwb","Graded sandstone and mudstone with basal breccia; fining upward to mudstone","sandstone","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","metasandstone","Yc2B","TZ IIB well foliated semischist with minor phyllite; greenschist; metachert","semischist","18_crystalline"
"Late Pleistocene - Holocene river deposits","gravel","Q2al","sandy gravel in low terraces","alluvial terraces","16_terrace"
"Late Pleistocene shoreline deposits","sand","Q5b","slightly weathered gravel sand silt and loess","marine terrace deposits","16_terrace"
"Basement (Median Batholith) igneous rocks","gabbro","lPZslg","Metamorphosed gabbro to gabbronorite; minor ultramafics; rare leucotroctolite; localised tonalite along margins","gabbro","18_crystalline"
"Paleogene sedimentary rocks","limestone","Olwkl","Sandy, graded, bioclastic limestone; calcareous sandstone; and breccia-bearing crystalline limestone","limestone","15_undifSed"
"Late Cretaceous sedimentary rocks","conglomerate","lKb","schist-derived breccia conglomerate and minor sandstone  usually strongly weathered  locally auriferous","schist conglomerate","15_undifSed"
"Paleogene sedimentary rocks","conglomerate","Olwkc","Massive to bedded pebble to boulder conglomerate and breccia with scattered slump sheets; subordinate sandstone","conglomerate","15_undifSed"
"Basement (Western Province) metamorphic rocks","quartzite","eOrfb","Massive and thick pale grey quartzite interbedded with thin bedded graphitic metamudstone; rare marble and calc-silicates","quartzite","18_crystalline"
"Basement (Western Province) metamorphic rocks","schist","PZms","Generally psammitic schists with subordinate amphibolites; minor calc-silicates, marble, pelitic schist and quartzite","metasediment","18_crystalline"
"Basement (Median Batholith) igneous rocks","syenogranite","PZgbg","Coarse, K feldspar porphyritic biotite syenogranite. Contains rafts & xenoliths of Pleasant Pluton diorite & gabbro","granite","18_crystalline"
"Basement (Western Province) metamorphic rocks","calc-silicate","PZcl","Interbedded cm-banded calc-silicate, calcic psammite, and thin marble with minor amphibolite and pelitic schist","calc-silicate","18_crystalline"
"Basement (Western Province) metamorphic rocks","metasandstone","eOrfl","Thick-bedded quartzose metasandstone & pelite or semi-pelite (as turbidites); lacks graphite; minor quartzite; rare marble","metasediment","18_crystalline"
"Middle Pleistocene river deposits","gravel","Q6af","weathered gravel in high fans grading into Q6 terraces","alluvial fans","10_fan"
"Basement (Eastern Province) metamorphic rocks","metasandstone","Yc2b","TZ IIB well foliated semischist with minor phyllite  greenschist  metachert","semischist","18_crystalline"
"Late Cretaceous sedimentary rocks","breccia","lKh","non-marine breccia conglomerate and sandstone  minor coal","schist breccia","15_undifSed"
"Basement (Median Batholith) igneous rocks","granite","lJchg","Leucocratic, pink-white, med-coarse gr, massive, equigranular biotite (as clots) granite; thin mylonitic zones on western margin","granite","18_crystalline"
"Basement (Median Batholith) igneous rocks","granite","mJlmg","Leucocratic, coarse grained, massive, biotite granite; minor granodiorite","granite","18_crystalline"
"Basement (Median Batholith) igneous rocks","tonalite","eCahp","Med-coarse gr, massive-weakly foliated, equigranular, bio-hbl±gt tonalite & qtz diorite, minor granodiorite; calc-silicate rafts","tonalite","18_crystalline"
"Basement (Eastern Province) igneous rocks","diorite","mTmpi","porphyritic hornblende microdiorite and andesite","andesite","18_crystalline"
"Paleogene sedimentary rocks","sandstone","Olwk","Massive to graded sandstone with with weakly calcareous mudstone interbeds; rare conglomerate","sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granite","eCaep","Massive to weakly foliated, equigranular, biotite±muscovite±rare garnet granite, granodiorite and tonalite","granite","18_crystalline"
"Neogene sedimentary rocks","limestone","eMiwv","graded bioclastic limestone interbedded with mudstone","limestone","15_undifSed"
"Basement (Western Province) metamorphic rocks","quartzite","eOrfl","Thin-bedded quartzite, calc-silicates and marble; graphitic semi-pelite and rare pelite; overlies Lumaluma Fmn turbidites","metasediment","18_crystalline"
"Late Pleistocene - Holocene river deposits","gravel","uQaf","undifferentiated fresh to deeply weathered locally derived clayey to sandy gravel in alluvial fans","alluvial fans","10_fan"
"Basement (Median Batholith) igneous rocks","granodiorite","lDeCa77","Med-coarse grained, weakly to moderately foliated, equigranular, red-brown biotite±gt±hbl tonalite & granodiorite, minor granite","granodiorite","18_crystalline"
"Paleogene - Neogene sedimentary rocks","limestone","eMk","limestone and greensand","limestone","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","greenschist","Yc3g"," "," ","18_crystalline"
"Middle Pleistocene river deposits","gravel","mQa","Consolidated, weakly weathered, muddy to sandy gravel outwash terrace remnants; contains well-rounded cobbles & boulders","Medium-old outwash","12_outwash"
"Late Pleistocene river deposits","gravel","Q4al","sandy gravel in intermediate terraces","alluvial terraces","16_terrace"
"Basement (Western Province) metamorphic rocks","metasandstone","eOrf","Metasandstone/non-schistose psammite with subordinate biotite±sillimanite±staurolite schistose semi-pelite & pelite","metasandstone","18_crystalline"
"Basement (Median Batholith) igneous rocks","tonalite","PZst","Fine to medium grained, weakly foliated tonalite and minor granodiorite with abundant metasedimentary xenoliths","tonalite","18_crystalline"
"Neogene sedimentary rocks","limestone","eMiwv","Dm to cm bedded, graded, grey to yellow, bioclastic sandstone and sandy limestone with mudstone interbeds","limestone","15_undifSed"
"Basement (Western Province) metamorphic rocks","psammite","PZcs","Psammite locally interbedded with graphitic pelitic schist; minor calc-silicate & marble; rare quartzite & basic metavolcanics","psammite","18_crystalline"
"Basement (Eastern Province) igneous rocks","gabbro","Yda","gabbro; norite; mafic diorite; minor basic pegmatite; variably brecciated","gabbro","18_crystalline"
"Basement (Median Batholith) igneous rocks","granite","eKbrp","Medium to coarse grained, massive to weakly foliated, commonly K-feldspar megacrystic, biotite granite and granodiorite","granite","18_crystalline"
"Paleogene sedimentary rocks","sandstone","lEh","non-marine quartz pebble conglomerate (locally silica-cemented)  sandstone  siltstone  mudstone  coal","quartz sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","gabbronorite","PZpd","Fine to coarse grained, layered gabbronorite, gabbro & anorthosite; minor diorite in north of polygon with metasediment xenolith","gabbronorite","18_crystalline"
"Basement (Eastern Province) igneous rocks","diorite","Ylp","diorite; tonalite; trondhjemite; microdiorite; variably brecciated","diorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","quartz diorite","eCatqd","Medium grained, weakly foliated, hornblende-biotite±clinopyroxene quartz diorite, commonly amphibolitised; minor tonalite","diorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","granite","eKfp","Fine to medium gr, massive, equigranular biotite±muscovite granite & subordinate granodiorite; minor pegmatite & leucogranite","granite","18_crystalline"
"Paleogene sedimentary rocks","quartzite","lEhc","hard silica-cemented quartz sandstone and conglomerate","quartzite","15_undifSed"
"Middle Pleistocene - Late Pleistocene glacier deposits","till","mlQt","Poorly exposed, consolidated, slightly weathered, muddy to bouldery till with preserved lateral moraine ridge topography","Undifferentiated till","14_moraineTill"
"Basement (Western Province) metamorphic rocks","psammite","PZcr","Biotite and calcic psammite with quartzite; minor pelitic schist, marble and calc-silicate","psammite","18_crystalline"
"Middle Pleistocene shoreline deposits","sand","Q7b","moderately weathered sand gravel and silt","marine terrace deposits","16_terrace"
"Basement (Median Batholith) igneous rocks","quartz monzonite","eKlJeg","Medium, strongly lineated, variably foliated to gneissic aegirine-arfvedsonite-biotite qtz monzonite, qtz syenite & syenogranite","granite","18_crystalline"
"Basement (Western Province) metamorphic rocks","marble","PZcma","Marble (up to 50 m thick) and minor calc-silicate","marble","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","eCaepd","Raft of variably foliated diorite, quartz diorite and minor hornblende gabbro in Mt Evans Pluton","diorite","18_crystalline"
"Late Pleistocene river deposits","gravel","Q4af","locally derived gravels in degraded fans","alluvial fans","10_fan"
"Late Pleistocene river deposits","gravel","Q2al","sandy gravel in low terraces","alluvial terraces","16_terrace"
"Paleogene - Neogene sedimentary rocks","claystone","Miep","claystone with carbonaceous mudstone and minor shellbeds and sandstone","claystone","15_undifSed"
"Basement (Western Province) metamorphic rocks","schist","PZms","Psammitic biotite quartzofeldspathic schist","metasediment","18_crystalline"
"Late Cretaceous sedimentary rocks","conglomerate","lKob","conglomerate","conglomerate","15_undifSed"
"Basement (Median Batholith) igneous rocks","diorite","eCati","Medium to very coarse gr, massive to gneissic diorite, gabbro, quartz diorite & minor tonalite; locally altered; rare pyroxenite","diorite","18_crystalline"
"Late Pleistocene - Holocene river deposits","gravel","Q2al","sandy greywacke gravel overlain by loess; schist-greywacke-quartz sandy gravel in the Clutha catchment","alluvial terraces","16_terrace"
"Basement (Western Province) metamorphic rocks","psammite","PZc","Unfoliated to schistose psammitic, pelitic, calc-silicate and metavolcanic rocks with minor metaconglomerate, marble & quartzite","metasediment","18_crystalline"
"Middle Pleistocene shoreline deposits","sand","Q9b","weathered sand and gravel in dissected terrace remnant several metres of loess locally eroded","alluvial fan","10_fan"
"Basement (Eastern Province) metamorphic rocks","metasandstone","Yc2a","TZ IIA weakly foliated grey-green sandstone and minor mudstone with rare volcanics and conglomerate","semischist","18_crystalline"
"Late Pleistocene river deposits","gravel","Q4af","Slightly weathered gravel and sand in sloping and higher alluvial fan remnants; commonly dissected","Early Last Glacial alluvial fan","10_fan"
"Basement (Eastern Province) sedimentary rocks","sandstone","eJd","fine sandstone and siltstone with rare conglomerate tuff and grit beds","sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granodiorite","Dwg","Massive to weakly foliated, equigranular biotite±muscovite granodiorite, tonalite and granite","granodiorite","18_crystalline"
"Basement (Western Province) metamorphic rocks","paragneiss","PZmsq","Quartzose paragneiss with quartzofeldspathic psammitic to pelitic gneiss/schist; minor calc-silicates and amphibolite","metasediment","18_crystalline"
"Paleogene sedimentary rocks","conglomerate","lOlw","Poorly sorted, sandy, quartz & granite conglomerate/breccia interbedded with carbonaceous sandstone; coalified wood fragments","conglomerate","15_undifSed"
"Paleogene sedimentary rocks","limestone","Olwi","graded bioclastic limestone interbedded with sandstone and mudstone","limestone","15_undifSed"
"Paleogene - Neogene sedimentary rocks","limestone","OlMiwc","sandy to bioclastic limestone with local basal conglomerate overlying sandstone","limestone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granodiorite","eCanrg","Coarse-grained, generally massive, biotite granodiorite & granite with conspicous K-feldspar megacrysts. Foliation near faults","granodiorite","18_crystalline"
"Paleogene - Neogene sedimentary rocks","limestone","lOlwt","Massive to cross-bedded bioclastic limestone; locally sandy; polygon absorbs minor Point Burn conglomerate & sandstone","limestone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granite","Dhg","White, medium grained, variably foliated, inequigranular to equigranular, bio+ms±gt granite, granodiorite and tonalite","granite","18_crystalline"
"Neogene sedimentary rocks","sandstone","Miwc","sandstone with shellbeds; laminated siltstone; locally with lignite","sandstone","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","mJf","sandstone and interbedded mudstone with minor shellbeds; and conglomerate and coal","sandstone","15_undifSed"
"Basement (Western Province) metamorphic rocks","schist","PZms","Psammitic schist interlayered with thin granitic orthogneiss towards Lake Macarthur","metasediment","18_crystalline"
"Basement (Western Province) metamorphic rocks","metasandstone","eOrf","Metasandstone & minor graphitic metamudstone interbedded with quartzites (?Burnett Fmn);grades east to psammitic &pelitic schist","metasandstone","18_crystalline"
"Late Pleistocene windblown deposits","loess","Q4e","silty loess forming dune fields on Q4 terraces","loess","11_loess"
"Neogene sedimentary rocks","quartzite","Miegc","silicified quartz sandstone and conglomerate","quartzite","15_undifSed"
"Late Pleistocene river deposits","gravel","Q2al","sandy gravel in outwash and alluvial terraces","alluvial terraces","16_terrace"
"Basement (Western Province) metamorphic rocks","schist","PZms","Psammitic and amphibolitic schist and gneiss with minor calc-silicates; rare quartzite & pelitic rocks","metasediment","18_crystalline"
"Early Pleistocene river deposits","gravel","eQac","deeply weathered greywacke - quartz gravel and sand in high terrace west of Clydevale","terrace gravels","16_terrace"
"Late Pleistocene river deposits","gravel","Q2al","Unweathered, loose gravels, sand, and mud in low terraces","Late Last Glacial alluvium","06_alluvium"
"Late Pleistocene river deposits","gravel","Q2af","Fresh to weakly weathered gravel and sand in gently sloping alluvial fan deposit","Late Last Glacial alluvial fan","10_fan"
"Basement (Western Province) metamorphic rocks","psammite","eOrf","Schistose psammite with subordinate pelite; minor quartzite and calc-silicate","psammite","18_crystalline"
"Neogene sedimentary rocks","sandstone","Miwa","massive sandstone with rare shellbeds","marine sandstone","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","mudstone","Yci","black and red mudstone with minor sandstone interbeds","mudstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granodiorite","eKcar","Medium to coarse grained, massive, equigranular, biotite±hornblende granodiorite and granite; minor tonalite","granodiorite","18_crystalline"
"Late Pleistocene river deposits","gravel","Q2al","Unweathered to slightly weathered, loose, bouldery gravel, sand & mud in low aggradational and degradational terraces","Late Last Glacial alluvium","06_alluvium"
"Paleogene - Neogene sedimentary rocks","mudstone","Olwh","mudstone with graded limestone; breccia and sandstone interbeds","mudstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","tonalite","eKmo","Fine to medium grained, equigranular, massive, biotite tonalite and minor granodiorite; abundant metasedimentary xenoliths","tonalite","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","eKod","Medium gr, massive to foliated, hornblende diorite & gabbro, subordinate qtz diorite & tonalite; may include phases of older age","diorite","18_crystalline"
"Basement (Median Batholith) mylonite","mylonite","eKbrpm","Mylonitised biotite granite and granodiorite with K-feldspar porphyroclasts; pervasive mylonite fabric","mylonite","18_crystalline"
"Paleogene sedimentary rocks","mudstone","Elm","mudstone and carbonaceous mudstone with lignite seams","mudstone","15_undifSed"
"Neogene sedimentary rocks","sandstone","Miwa","Massive to m-bedded blue-grey fine-medium sandstone with minor shellbeds; becomes finer and muddier westward","sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granite","eCapo","Light pink to white, medium-coarse grained, massive, bio-hbl granite with minor granodiorite; locally K-feldspar megacrystic","granite","18_crystalline"
"Basement (Median Batholith) igneous rocks","granite","eKnpg","Medium to coarse grained, equigranular, massive to locally foliated, biotite±muscovite granite and leucogranite","granite","18_crystalline"
"Middle Pleistocene glacier deposits","till","Q6t","Slightly to moderately weathered, sandy to gravelly till in isolated moraine remnants","Medium-age till","14_moraineTill"
"Middle Pleistocene river deposits","gravel","Q6al","moderately weathered clay-rich sandy gravel in high terraces","alluvial terraces","16_terrace"
"Neogene sedimentary rocks","sandstone","Plwe","Thinly interbedded laminated siltstone & sandstone, locally cross-bedded; massive sandstone; minor shellbeds","sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granodiorite","lDeCajp","Med-coarse gr, massive-weakly foliated, equigranular, biotite granodiorite & granite, minor tonalite; many xenoliths","granodiorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","Caad","Massive, heterogeneous, fine-coarse grained diorite, monzodiorite, quartz diorite & quartz monzodiorite; minor leuco-tonalite","diorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","Ktdi","Fine-medium grained, equigranular diorite with minor gabbro & quartz monzodiorite. Hornblendite & hbl-plag pegmatite dikes","diorite","18_crystalline"
"Basement (Western Province) metamorphic rocks","metasandstone","eOrfp","Well bedded quartz-rich metasandstone & both graphitic & non-graphitic metamudstone; subordinate quartzite; locally graptolitic","metasediment","18_crystalline"
"Paleogene sedimentary rocks","sandstone","Olwu","Fining up sequence of graded sandstone","sandstone","15_undifSed"
"Basement (Western Province) metamorphic rocks","schist","PZms","Psammitic to pelitic biotite-muscovite-garnet quartzofeldspathic schist","metasediment","18_crystalline"
"Paleogene sedimentary rocks","conglomerate","Olwuc","Pebble to boulder conglomerate with minor pebbly to bouldery sandstone and carbonaceous mudstone & coal.","conglomerate","15_undifSed"
"Paleogene sedimentary rocks","sandstone","Olwu","Fining up sequence of graded sandstone and mudstone; minor conglomerate, massive and laminated sandstone, & carbonaceous zst","sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granodiorite","eK59","Fine gr, massive, equigranular granodiorite, granite & leucogranite w isolated distinctly euhedral biotite; minor leucotonalite","granodiorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","granite","eKreg","Medium to coarse grained, massive, locally K-feldspar megacrystic, biotite granite; minor granodiorite and quartz monzonite","granite","18_crystalline"
"Paleogene sedimentary rocks","sandstone","Olwu","Graded sandstone, laminated sandstone and mudstone, massive mudstone with rare graded limestone beds","sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granodiorite","lDeCa77","Med-coarse grained, weakly to strongly foliated, equigranular, red-brown biotite±gt±hbl tonalite & granodiorite","granodiorite","18_crystalline"
"Basement (Western Province) metamorphic rocks","psammite","PZc","Unfoliated to schistose quartz-rich psammite with some pelite, migmatitic in places; lacks calc-silicates =?Fanny Bay Group","metasediment","18_crystalline"
"Basement (Median Batholith) igneous rocks","cataclasite","eKbrpz","Cataclastic to mylonitic rock derived from granite and subordinate metasediment, gabbro and diorite","cataclasite","18_crystalline"
"Basement (Western Province) metamorphic rocks","metasandstone","eOrf","Metasandstone & minor graphitic metamudstone interbedded with quartzites (?Burnett Fmn)","metasandstone","18_crystalline"
"Basement (Median Batholith) igneous rocks","granodiorite","Ktmp","Fine-medium grained biotite granodiorite and granite; mostly equigranular but locally K-feldspar megacrystic","granodiorite","18_crystalline"
"Neogene sedimentary rocks","limestone","Miwcg","Graded, sandy to pebbly, bioclastic limestone and siltstone; with secondary cemetation","limestone","15_undifSed"
"Early Pleistocene glacier deposits","till","eQt","Weakly weathered, bouldery sandy till","Old to very old till","14_moraineTill"
"Middle Pleistocene river deposits","gravel","mQal","weathered sandy greywacke (quartz) gravel in high terraces; includes dune sand","alluvial terraces","16_terrace"
"Basement (Eastern Province) sedimentary rocks","sandstone","Yu","volcaniclastic sandstone; siltstone limestone and rare conglomerate and tuff","sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","granite","Kmg","Massive, medium to coarse grained, locally K-feldspar megacrystic, biotite-muscovite granite and leucogranite","granite","18_crystalline"
"Basement (Median Batholith) igneous rocks","granodiorite","lDeCabp","Med-coarse gr, massive-weakly foliated, equi, rarely megacrystic, bio±ms±gt granodiorite & granite, minor tonalite, rare syenite","granodiorite","18_crystalline"
"Middle Pleistocene shoreline deposits","sand","Q11b","weathered sand and gravel loess","marine terrace deposits","16_terrace"
"Late Pleistocene river deposits","gravel","Q4al","Slightly weathered, loose, gravel and sand in intermediate terraces","Early Last Glacial alluvium","06_alluvium"
"Paleogene sedimentary rocks","sandstone","EOlh","Trough cross-bedded to massive, fine to pebbly sandstone; sandy pebble conglomerate; minor carbonaceous siltstone and coal","sandstone","15_undifSed"
"Basement (Western Province) metamorphic rocks","gneiss","PZmsh","Porphyroblastic quartzofeldspathic biotite gneiss and biotite-epidote gneiss; minor amphibolitic schist","metasediment","18_crystalline"
"Neogene sedimentary rocks","conglomerate","Plwec","Massive to m-bedded, sandy, clast supported, fine pebble to cobble conglomerate; rare macrofossils","conglomerate","15_undifSed"
"Neogene sedimentary rocks","siltstone","lMiPlwr","Interbedded massive siltstone, pebbly mudstone, massive to bedded sandstone, pebbly to bouldery conglomerate; rare shellbeds","siltstone","15_undifSed"
"Neogene sedimentary rocks","gravel","lMiPlq","quartz and quartz-greywacke gravel with minor sand and carbonaceous mudstone","quartz gravel","15_undifSed"
"Paleogene - Neogene sedimentary rocks","limestone","OlMif","Calcareous sandstone overlain by variably pebbly bioclastic limestone. Upper part is interbedded sandy and more crystalline lst","limestone","15_undifSed"
"Basement (Western Province) metamorphic rocks","schist","PZms","Unsual mix pf porphyritic metadolerite with large plag laths and psammitic schist; rare psammite-pelite layers","metasediment","18_crystalline"
"Basement (Median Batholith) igneous rocks","granodiorite","eKrh","Medium grained, massive, locally pink K-feldspar megacrystic, biotite-hornblende granodiorite and minor quartz monzodiorite","granodiorite","18_crystalline"
"Paleogene sedimentary rocks","conglomerate","EOlhc","m-bedded to massive, sandy pebble to boulder conglomerate; minor sandstone. Trough cross-bedding common","conglomerate","15_undifSed"
"Basement (Western Province) metamorphic rocks","metasandstone","eOrf","Massive metasandstone/psammite and subordinate quartzite","metasandstone","18_crystalline"
"Late Pleistocene river deposits","gravel","Q5al","slightly weathered gravel sand silt and loess","terrace alluvium","16_terrace"
"Basement (Median Batholith) igneous rocks","quartz diorite","Thbq","predominantly quartz diorite","quartz diorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","Thbd","predominantly meladiorite","diorite","18_crystalline"
"Paleogene sedimentary rocks","sandstone","EOlb","Basal conglomerate overlain by sst & carb mst, then by granitic breccia, channelised sst with mst clasts overlain by graded sst","sandstone","15_undifSed"
"Paleogene sedimentary rocks","limestone","Olul","limestone and fossiliferous sandstone with basal conglomerate; siltstone and shellbeds","limestone","15_undifSed"
"Neogene sedimentary rocks","sandstone","Em","sandstone and carbonaceous mudstone with minor lignite","sandstone","15_undifSed"
"Neogene sedimentary rocks","sandstone","eMiwop","Dm-bedded, graded, pale grey sandstone & calcareous mst; minor interbeds of coarse sandy pebble to boulder breccia &conglomerate","sandstone","15_undifSed"
"Paleogene sedimentary rocks","limestone","EOlbc","Thin bedded, fine grained, nannofossil limestone or marl with minor intercalated channel sandstone beds (graded) and rare chert","limestone","15_undifSed"
"Neogene sedimentary rocks","limestone","eMiwkp","Dm-m bedded, graded, yellow, bioclastic fine-coarse calcareous sst or sandy limestone with mst interbeds; rare limestone breccia","limestone","15_undifSed"
"Cretaceous sedimentary rocks","sandstone","Kpw","Thick bedded & graded arkosic sandstone and siltstone with subordinate mudstone and rare conglomerate","sandstone","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","mJm","sandstone and conglomerate; rarely carbonaceous; with minor mudstone","sandstone","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q9b","Slightly to moderately weathered gravel and sand on marine bench remnants between 200 to 240m ASL","marine terrace gravel","16_terrace"
"Basement (Eastern Province) sedimentary rocks","sandstone","Yc","massive to well bedded grey  red and green sandstone with subordinate mudstone and granule conglomerate","sandstone","15_undifSed"
"Basement (Median Batholith) igneous rocks","diorite","eKbpp","Fine to medium gr, massive, heterogeneous, acicular-hornblende diorite, qtz diorite & biotite-rich tonalite; minor granodiorite","diorite","18_crystalline"
"Cretaceous sedimentary rocks","conglomerate","Kps","Interbedded pebble/cobble/granule conglomerates, cross stratified sandstone, and carbonacous mudstone with thin coal seams","conglomerate","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q8al","slightly weathered sandy gravel","terrace gravels","16_terrace"
"Middle Pleistocene shoreline deposits","gravel","Q7b","Slightly to moderately weathered, dm-bedded gravel and gravelly sand on marine bench remnants between 90 to 150m ASL","marine terrace gravel","16_terrace"
"Middle Pleistocene shoreline deposits","gravel","Q9b","Slightly to moderately weathered gravel and sand on marine bench remnants; age uncertain, could be Q7 because of lower level","marine terrace gravel","16_terrace"
"Basement (Eastern Province) igneous rocks","gabbro","lYeThg","predominantly gabbro with olivine gabbro; noritic gabbro; troctolite; and anorthosite with some igneous layering","gabbro","18_crystalline"
"Basement (Eastern Province) igneous rocks","diorite","lYeThgd","meladiorite on gabbro margins","diorite","18_crystalline"
"Neogene sedimentary rocks","gravel","lMiPlq","quartz gravel with minor quartz sand carbonaceous mudstone and lignite","quartz gravel","15_undifSed"
"Basement (Eastern Province) igneous rocks","trondhjemite","Ybptj","trondhjemite; leuco-tonalite","trondhjemite","18_crystalline"
"Neogene sedimentary rocks","conglomerate","Miwc","Coarse sandy, pebble to cobble conglomerate and pebbly sandstone","conglomerate","15_undifSed"
"Late Pleistocene shoreline deposits","gravel","Q5b","Weathered, well-rounded gravel, sand and peat on marine bench remnants between 60 to 90m ASL","marine terrace gravel","16_terrace"
"Middle Pleistocene shoreline deposits","gravel","Q7b","Slightly to moderately weathered, dm-bedded gravel and gravelly sand on marine bench remnants between 170 to 200m ASL","marine terrace gravel","16_terrace"
"Paleogene - Neogene sedimentary rocks","mudstone","OlMiwks","Pebbly to bouldery mudstone; massive mudstone; interbedded graded sandstone & mudstone packets (often slump folded)","mudstone","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q7b","Pebbly gravel and sand with rare peat underlying high marine benches","marine terrace","16_terrace"
"Paleogene sedimentary rocks","limestone","EOlhl","dm-bedded and cross-bedded sandy to pebbly limestone, calcareous sandstone, & pebbly sandstone; minor congl & carbonaceous mst","limestone","15_undifSed"
"Late Pleistocene shoreline deposits","gravel","Q3b","Well-rounded & bedded quartz-lithic gravel, sand and peat on marine bench remnants between 30 to 60m ASL; boulder layer at base","marine terrace gravel","16_terrace"
"Paleogene - Neogene sedimentary rocks","sandstone","OlMiwws","cm-bedded graded bioclastic sandstone lense. Unit (lense) occurs within background Waicoe Fmn mudstone","sandstone","15_undifSed"
"Neogene sedimentary rocks","limestone","lMiwg","Bioclastic pebbly limestone, hummocky cross-bedded calcareous sandstone, and shellbeds; basal conglomerate lenses","limestone","15_undifSed"
"Early Pleistocene glacier deposits","till","eQt","Weakly weathered, bouldery sandy till; distorted laminated sand & sandy gravel lenses; bouldery lag; rare carbonaceous silt","Old to very old till","14_moraineTill"
"Basement (Western Province) metamorphic rocks","metasandstone","PZc","Weakly foliated, cm-dm layered, metasandstone & metamudstone with subordinate calc-silicate, rare marble and metachert","metasediment","18_crystalline"
"Basement (Western Province) metamorphic rocks","calc-silicate","PZc","Massive to weakly foliated, cm-dm layered, metasandstone & calc-silicate with rare marble","metasediment","18_crystalline"
"Basement (Western Province) metamorphic rocks","psammite","eOrf","Variably schistose psammite with minor pelite and amphibolite; occurs as raft in pluton","psammite","18_crystalline"
"Paleogene sedimentary rocks","conglomerate","EOlhc","m-bedded to massive, sandy pebble to boulder conglomerate; minor sandstone","conglomerate","15_undifSed"
"Paleogene sedimentary rocks","sandstone","Olwk","fossiliferous sandstone with basal conglomerate; limestone lenses and shellbeds","marine sandstone","15_undifSed"
